Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Kodiak|an island off southern Alaska in the Gulf of Alaska; site of the first European settlement in the area which was founded by the Russians in 1784
Korea Bay|an inlet of the Yellow Sea between the Liaodong Peninsula in China and western Korea
Korean Strait|a strait between Korea and Japan; connects the East China Sea and the Sea of Japan
Kuiper belt|a disk-shaped region of minor planets outside the orbit of Neptune
Kuiper belt object|any of many minor planets in the Kuiper belt outside the orbit of Neptune at the edge of the solar system
Kunlun|a mountain range in western China that extends eastward from the Indian border for 1000 miles
Kura|a river in western Asia; rises in northeast Turkey and flows to the Caspian Sea
Labrador-Ungava Peninsula|a peninsular region of eastern Canada between Hudson Bay and the Labrador Sea; contains most of Quebec and the mainland part of Newfoundland and Labrador
Labrador Sea|an arm of the northern Atlantic between Labrador and southern Greenland
Lake Albert|a shallow lake on the border between Uganda and Congo in the Great Rift Valley
Lake Aral|a lake to the east of the Caspian Sea lying between Kazakhstan and Uzbekistan
Lake Chad|a lake in north central Africa; fed by the Shari river
Lake Champlain|a lake in northeastern New York, northwestern Vermont and southern Quebec; site of many battles in the French and Indian War and in the American Revolution and in the War of 1812
Lake Edward|a lake in the Great Rift Valley between Congo and Uganda
Lake Erie|the 4th largest of the Great Lakes; it is linked to the Hudson River by the New York State Barge Canal
Lake Geneva|a lake between southwestern Switzerland and France that is crossed from east to west by the Rhone
Lake Huron|the 2nd largest of the Great Lakes
Lake Ilmen|a lake in northwestern Russia; drains through the Volkhov River into Lake Ladoga
Lake Ladoga|a lake in northwestern Russia to the north of St. Petersburg; the largest lake in Europe; drains through the Neva River into the Gulf of Finland
Lake Michigan|the 3rd largest of the Great Lakes; the largest freshwater lake entirely within the United States borders
Lake Nasser|lake in Egypt formed by dams built on the Nile River at Aswan
Lake Nyasa|a long lake in southeastern Africa between Tanzania, Mozambique, and Malawi
Lake Onega|lake in northwestern Russia near the border with Finland; second largest lake in Europe
Lake Ontario|the smallest of the Great Lakes
Lake St. Clair|a lake between Ontario and Michigan; connected with Lake Huron and Lake Erie
Lake Superior|the largest freshwater lake in the world; the deepest of the Great Lakes
Lake Tana|a lake in northern Ethiopia; the largest lake in Ethiopia and the source of the Blue Nile
Lake Tanganyika|the longest lake in the world in central Africa between Tanzania and Congo in the Great Rift Valley
Lake Urmia|a shallow saline lake in northwestern Iran between Tabriz and the western border of Turkey
Lake Vanern|a lake in southwestern Sweden; the largest lake in Sweden
Lake Victoria|the largest lake in Africa and the 2nd largest fresh water lake in the world; a headwaters reservoir for the Nile River
Laptev Sea|part of the Arctic Ocean to the north of Siberia (between the Taimyr Peninsula and the New Siberian Islands) that is icebound most of the year
Large Magellanic Cloud|the larger of the two Magellanic Clouds visible from the southern hemisphere
Lascaux|a cave in southwestern France that contains Paleolithic paintings
Laudo|a mountain peak in the Andes in Argentina (20,997 feet high)
Laurasia|a hypothetical continent that (according to plate tectonic theory) broke up later into North America and Europe and Asia
Lehigh River|a river in eastern Pennsylvania that flows southeast into the Delaware River
Lena|a Russian river in Siberia; flows northward into the Laptev Sea
Leo|a zodiacal constellation in northern hemisphere between Cancer and Virgo
Lepus|a constellation in the southern hemisphere near Orion and Columba
Lethe|(Greek mythology) a river in Hades; the souls of the dead had to drink from it, which made them forget all they had done and suffered when they were alive
Lhotse|a mountain in the central Himalayas on the border of Tibet and Nepal (27,890 feet high)
Liaodong Peninsula|a peninsula in northeastern China that extends into the Yellow Sea, between Bo Hai and Korea Bay
Libra|a small faint zodiacal constellation in the southern hemisphere; between Virgo and Scorpius
Ligurian Sea|an arm of the Mediterranean between northwest Italy and Corsica
Limpopo|an African river; flows into the Indian Ocean
Little Bear|a constellation outside the zodiac that rotates around the North Star
Little Bighorn|a river that flows from northern Wyoming into the Bighorn River in southern Montana; site of Custer's Last Stand
Little Dipper|a cluster of seven stars in Ursa Minor; at the end of the dipper's handle is Polaris
Little Missouri|a river that rises in northeastern Wyoming and flows through Montana and South Dakota to join the Missouri River in North Dakota
Little Sioux River|a river that rises in southwestern Minnesota and flows southwestward to the Missouri River in western Iowa
Little Wabash|a river in eastern Illinois that flows southeastward to the Wabash River
Llano Estacado|a large semiarid plateau forming the southern part of the Great Plains
Llullaillaco|a mountain in the Andes on the border between Argentina and Chile (22,057 feet high)
Loch Achray|a lake in central Scotland
Loch Linnhe|an inlet of the Atlantic Ocean on the western coast of Scotland
Loch Ness|a lake in the Scottish highlands; the largest body of fresh water in Great Britain
Logan|a mountain peak in the St. Elias Range in the southwestern Yukon Territory in Canada (19,850 feet high)
Loire|the longest French river; rises in the Massif Central and flows north and west to the Atlantic Ocean
Loire Valley|the valley of the Loire River where many French wines originated
Long Island Sound|a sound between Long Island and Connecticut
Lower California|a mountainous peninsula on northwest Mexico
Lower Peninsula|the part of Michigan between Lake Michigan and Lake Huron
Lupus|a constellation in the southern hemisphere near Centaurus
Lyra|a small constellation in the northern hemisphere near Cygnus and Draco; contains the star Vega
Mackenzie|a Canadian river; flows into the Beaufort Sea
Madeira|a Brazilian river; tributary of the Amazon River
Magdalena|a river that rises in the Andes mountains in southwestern Colombia and flows generally northward to empty into the Caribbean Sea at Barranquilla
Magellanic Cloud|either of two small galaxies orbiting the Milky Way; visible near the south celestial pole
Makalu|a mountain in the Himalayas in Nepal (27,790 feet high)
Marmara|an inland sea in northwestern Turkey; linked to the Black Sea by the Bosporus and linked to the Aegean by the Dardanelles
Mars|a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color; "Mars has two satellites"
Massachusetts Bay|an inlet of the Atlantic Ocean off of eastern Massachusetts extending from Cape Ann on the north to Cape Cod on the south
Massif Central|a mountainous plateau in southern France that covers almost one sixth of the country
Matterhorn|a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high); noted for its distinctive shape
McKinley|a mountain in south central Alaska; the highest peak in North America (20,300 feet high)
Mediterranean|the largest inland sea; between Europe and Africa and Asia
Mekong|an Asian river; flows through a large delta in southern Vietnam into the South China Sea
Menai Strait|a strait in northern Wales between Anglesey Island and the mainland
Mendenhall Glacier|a glacier of the Piedmont type near Juneau in Alaska
Mensa|a faint constellation in the polar region of the southern hemisphere and containing part of the Large Magellanic Cloud
Mercedario|a mountain in the Andes in Argentina (22,210 feet high)
Mercury|the smallest planet and the nearest to the sun
Merrimack|a river that rises in south central New Hampshire and flows through Concord and Manchester into Massachusetts and empties into the Atlantic Ocean
Mesabi Range|a range of hills in northeastern Minnesota where rich iron ore deposits were discovered in 1887
Meuse|a European river; flows into the North Sea
